title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Soldier of Orange,Soldaat van Oranje,633,tt0076734,false,148,0,0,118,7.068,nl,1977-09-22
Bridget Jones\'s Diary,Bridget Jones\'s Diary,634,tt0243155,false,97,25000000,281929795,4281,6.757,en,2001-04-13
Angel Heart,Angel Heart,635,tt0092563,false,113,17000000,17186348,1176,7.117,en,1987-03-06
THX 1138,THX 1138,636,tt0066434,false,86,777000,2437000,748,6.485,en,1971-03-11
Life Is Beautiful,La vita è bella,637,tt0118799,false,116,20000000,230098753,11268,8.456,it,1997-12-20
Lost Highway,Lost Highway,638,tt0116922,false,134,15000000,3675201,2008,7.595,en,1997-01-15
When Harry Met Sally...,When Harry Met Sally...,639,tt0098635,false,96,16000000,92823546,3290,7.417,en,1989-01-12
Catch Me If You Can,Catch Me If You Can,640,tt0264464,false,141,52000000,352114312,12845,7.951,en,2002-12-16
Requiem for a Dream,Requiem for a Dream,641,tt0180093,false,102,4500000,7390108,8283,8.034,en,2000-10-06
Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid,642,tt0064115,false,111,6000000,102308889,1752,7.6,en,1969-01-15
Battleship Potemkin,Броненосец Потёмкин,643,tt0015648,false,75,0,45100,897,7.637,ru,1925-12-24
A.I. Artificial Intelligence,A.I. Artificial Intelligence,644,tt0212720,false,146,100000000,235926552,5268,7.022,en,2001-06-29
Dr. No,Dr. No,646,tt0055928,false,110,950000,59600000,2894,7,en,1962-10-07
Final Fantasy VII: Advent Children,Final Fantasy VII: Advent Children,647,tt0385700,false,101,0,0,919,7.137,ja,2005-07-14
Beauty and the Beast,La Belle et la Bête,648,tt0038348,false,96,0,0,467,7.478,fr,1946-10-29
Belle de Jour,Belle de jour,649,tt0061395,false,101,0,0,655,7.432,fr,1967-05-24
Boyz n the Hood,Boyz n the Hood,650,tt0101507,false,112,6500000,57504069,1514,7.587,en,1991-07-12
M*A*S*H,M*A*S*H,651,tt0066026,false,116,3500000,81600000,787,7.025,en,1970-02-18
Troy,Troy,652,tt0332452,false,163,175000000,497409852,8661,7.128,en,2004-05-03
Nosferatu,"Nosferatu, eine Symphonie des Grauens",653,tt0013442,false,94,0,19054,1504,7.724,de,1922-02-16
On the Waterfront,On the Waterfront,654,tt0047296,false,108,910000,9600000,1216,8.011,en,1954-06-22
"Paris, Texas","Paris, Texas",655,tt0087884,false,145,1746964,2181987,1313,8.1,en,1984-08-23
From Russia with Love,From Russia with Love,657,tt0057076,false,115,2000000,78898765,2376,7.1,en,1963-10-10
Goldfinger,Goldfinger,658,tt0058150,false,110,2500000,124881062,2906,7.3,en,1964-09-20
The Tin Drum,Die Blechtrommel,659,tt0078875,false,162,0,0,341,7,de,1979-05-02
Thunderball,Thunderball,660,tt0059800,false,130,5500000,141195658,1810,6.631,en,1965-12-11
The Marriage of Maria Braun,Die Ehe der Maria Braun,661,tt0079095,false,120,0,0,176,7.401,de,1979-03-23
La Jetée,La Jetée,662,tt0056119,false,28,0,0,676,7.9,fr,1962-02-16
Saw IV,Saw IV,663,tt0890870,false,96,10000000,139352633,3001,6.15,en,2007-10-25
Twister,Twister,664,tt0117998,false,113,92000000,494471524,2606,6.45,en,1996-05-10
Ben-Hur,Ben-Hur,665,tt0052618,false,222,15000000,164000000,2151,7.85,en,1959-11-18
Central Station,Central do Brasil,666,tt0140888,false,110,2900000,5596708,681,8.158,pt,1998-11-20
You Only Live Twice,You Only Live Twice,667,tt0062512,false,117,9500000,111584787,1699,6.5,en,1967-06-13
On Her Majesty\'s Secret Service,On Her Majesty\'s Secret Service,668,tt0064757,false,142,6500000,81974493,1460,6.6,en,1969-12-12
Nanook of the North,Nanook of the North,669,tt0013427,false,79,53000,0,217,7.092,en,1922-06-11
Oldboy,올드보이,670,tt0364569,false,120,3000000,15194593,6877,8.273,ko,2003-11-21
Harry Potter and the Philosopher\'s Stone,Harry Potter and the Philosopher\'s Stone,671,tt0241527,false,152,125000000,976475550,23109,7.916,en,2001-11-16
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,672,tt0295297,false,161,100000000,876688482,18615,7.729,en,2002-11-13
Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,673,tt0304141,false,141,130000000,789804554,18311,8,en,2004-05-31
Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,674,tt0330373,false,157,150000000,895921036,17604,7.822,en,2005-11-16
Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,675,tt0373889,false,138,150000000,938212738,16678,7.694,en,2007-06-28
Pearl Harbor,Pearl Harbor,676,tt0213149,false,183,140000000,449220945,5424,6.945,en,2001-05-21
Olympia Part One: Festival of the Nations,Olympia - Fest der Völker,677,tt0030522,false,126,0,0,76,6.961,de,1938-04-20
Out of the Past,Out of the Past,678,tt0039689,false,97,0,0,423,7.715,en,1947-11-25
Aliens,Aliens,679,tt0090605,false,137,18500000,183316455,7863,7.914,en,1986-07-18
Pulp Fiction,Pulp Fiction,680,tt0110912,false,154,8000000,214179088,23648,8.488,en,1994-09-10
Diamonds Are Forever,Diamonds Are Forever,681,tt0066995,false,120,7200000,116019547,1642,6.4,en,1971-12-13
The Man with the Golden Gun,The Man with the Golden Gun,682,tt0071807,false,125,7000000,97572000,1591,6.427,en,1974-12-01
Olympia Part Two: Festival of Beauty,Olympia - Fest der Schönheit,685,tt0030523,false,100,0,0,53,6.9,de,1938-04-20
Contact,Contact,686,tt0118884,false,150,90000000,171120329,3624,7.409,en,1997-07-11
Dead Man Walking,Dead Man Walking,687,tt0112818,false,122,11000000,39363635,1097,7.384,en,1995-12-29
The Bridges of Madison County,The Bridges of Madison County,688,tt0112579,false,135,24000000,182016617,1723,7.681,en,1995-05-28
The Travelling Players,Ο θίασος,689,tt0073800,false,224,0,0,55,7.5,el,1975-07-01
Pickpocket,Pickpocket,690,tt0053168,false,75,0,0,371,7.338,fr,1959-12-16
The Spy Who Loved Me,The Spy Who Loved Me,691,tt0076752,false,125,14000000,185438673,1542,6.757,en,1977-07-07
Pink Flamingos,Pink Flamingos,692,tt0069089,false,92,12000,6000000,372,6.234,en,1972-03-17
Meet the Fockers,Meet the Fockers,693,tt0290002,false,115,80000000,516642939,4095,6.225,en,2004-12-22
The Shining,The Shining,694,tt0081505,false,144,19000000,44781695,14755,8.224,en,1980-05-23
Short Cuts,Short Cuts,695,tt0108122,false,187,0,6110979,453,7.19,en,1993-09-05
Manhattan,Manhattan,696,tt0079522,false,96,9000000,39946780,1952,7.795,en,1979-04-25
October (Ten Days that Shook the World),Октябрь,697,tt0018217,false,115,0,0,147,7.007,ru,1928-01-20
Moonraker,Moonraker,698,tt0079574,false,126,34000000,210308099,1555,6.1,en,1979-06-26
For Your Eyes Only,For Your Eyes Only,699,tt0082398,false,127,28000000,195312802,1452,6.476,en,1981-06-23
Octopussy,Octopussy,700,tt0086034,false,131,27500000,187500000,1543,6.306,en,1983-06-05
