title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
X-Men Origins: Wolverine,X-Men Origins: Wolverine,2080,tt0458525,false,107,150000000,373062864,9131,6.251,en,2009-04-28
Halloween,Halloween,2082,tt0373883,false,109,15000000,80460948,1847,6.192,en,2007-08-31
Guitar Men: The Darkest Secret of Rock \'n Roll,Guitar Men: The Darkest Secret of Rock \'n Roll,2083,tt1328622,false,70,0,0,2,5,de,2007-06-28
Birthday Girl,Birthday Girl,2084,tt0188453,false,93,13000000,0,332,5.901,en,2001-09-06
Romeo Must Die,Romeo Must Die,2085,tt0165929,false,115,25000000,91036760,949,6.17,en,2000-03-22
Nick of Time,Nick of Time,2086,tt0113972,false,90,8169363,8175346,568,6.177,en,1995-11-22
The Getaway,The Getaway,2087,tt0109890,false,115,0,30057974,257,5.611,en,1994-02-11
Romeo Is Bleeding,Romeo Is Bleeding,2088,tt0107983,false,100,11500000,3275585,126,6.167,en,1993-09-13
Cutaway,Cutaway,2089,tt0211792,false,104,9,37,22,5.841,en,2000-08-26
The Heist,The Heist,2090,tt0211407,false,83,0,0,2,4.5,en,2000-04-17
The Badge,The Badge,2091,tt0286493,false,99,6000000,0,30,6.367,en,2002-09-07
Wish You Were Here,Wish You Were Here,2092,tt0418329,false,81,0,0,7,4.2,en,2005-02-01
Amsterdamned,Amsterdamned,2093,tt0094651,false,105,98003,0,134,6.168,nl,1988-02-11
Roustabout,Roustabout,2094,tt0058534,false,101,0,3000000,36,6.056,en,1964-11-11
Desert Saints,Desert Saints,2095,tt0167116,false,88,0,0,35,5.6,en,2002-03-10
Tycus,Tycus,2096,tt0156146,false,94,0,0,7,5.3,en,2000-08-08
"Gappa, the Triphibian Monster",大巨獣ガッパ,2097,tt0061550,false,84,0,0,28,5.1,ja,1967-04-22
Viva Las Vegas,Viva Las Vegas,2098,tt0058725,false,85,0,0,97,6.284,en,1964-02-08
Raw Deal,Raw Deal,2099,tt0091828,false,106,8500000,16209459,619,5.809,en,1986-06-06
The Last Castle,The Last Castle,2100,tt0272020,false,131,72000000,27642707,989,7.1,en,2001-10-19
The Brother from Space,Fratello dello spazio,2101,tt0380368,false,90,0,0,2,2,en,1988-01-01
Solar Crisis,Solar Crisis,2102,tt0100649,false,112,55000000,0,24,4.5,en,1990-07-14
Solaris,Solaris,2103,tt0307479,false,99,47000000,30002758,1069,5.922,en,2002-11-27
Requiem,Requiem,2104,tt0286917,false,98,0,60700,10,4.6,fr,2001-12-28
American Pie,American Pie,2105,tt0163651,false,95,11000000,235483004,6587,6.541,en,1999-07-09
Hot Enough for June,Hot Enough for June,2106,tt0059282,false,98,0,0,10,6.5,en,1964-01-01
L.A. Story,L.A. Story,2107,tt0102250,false,95,0,0,254,6.47,en,1991-02-08
The Breakfast Club,The Breakfast Club,2108,tt0088847,false,98,1000000,51525171,6911,7.765,en,1985-02-15
Rush Hour,Rush Hour,2109,tt0120812,false,98,33000000,244721064,3818,6.973,en,1998-09-18
Wasabi,Wasabi,2110,tt0281364,false,94,15300000,10366360,1023,6.595,fr,2001-10-31
Balzac and the Little Chinese Seamstress,巴尔扎克与小裁缝,2111,tt0291032,false,116,0,0,47,6.84,zh,2002-05-16
Payback,Payback,2112,tt0120784,false,100,90000000,161626121,1460,6.823,en,1999-02-05
Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,2114,tt0173840,false,106,137000000,85131830,1219,6.18,en,2001-07-02
Light of Day,Light of Day,2115,tt0093415,false,107,0,0,33,5.4,en,1987-02-06
Out of Time,Out of Time,2116,tt0313443,false,105,50000000,55495563,926,6.28,en,2003-10-03
Sophie Scholl: The Final Days,Sophie Scholl – Die letzten Tage,2117,tt0426578,false,117,0,0,348,7.164,de,2005-02-13
L.A. Confidential,L.A. Confidential,2118,tt0119488,false,138,35000000,126216940,3969,7.777,en,1997-09-19
Days of Thunder,Days of Thunder,2119,tt0099371,false,107,60000000,157920733,1152,6.327,en,1990-06-27
Cedric,Cedric,2120,,false,11,0,0,0,0,de,2006-01-01
The Whole Ten Yards,The Whole Ten Yards,2122,tt0327247,false,98,40000000,26155781,786,5.698,en,2004-04-07
"Me, Myself & Irene","Me, Myself & Irene",2123,tt0183505,false,116,51000000,149270999,3190,6.572,en,2000-06-22
Color of Night,Color of Night,2124,tt0109456,false,121,40000000,19726050,453,5.752,en,1994-08-19
Wedlock,Wedlock,2125,tt0103239,false,101,6000000,0,115,5.743,en,1991-05-10
"I Love You, Baby","I Love You, Baby",2126,tt0240601,false,103,0,0,0,0,de,2000-04-20
Hostile Waters,Hostile Waters,2131,tt0119320,false,94,0,0,18,5.8,en,1997-10-18
Totally Blonde,Totally Blonde,2132,tt0200954,false,94,0,0,3,5.833,en,2001-01-01
The Perfect Storm,The Perfect Storm,2133,tt0177971,false,130,120000000,325756637,1825,6.407,en,2000-06-29
The Time Machine,The Time Machine,2134,tt0054387,false,103,750000,0,620,7.378,en,1960-05-25
The Time Machine,The Time Machine,2135,tt0268695,false,96,80000000,123729176,1853,6.177,en,2002-03-04
Hangin\' Out,Gib Gas - Ich will Spaß,2136,tt0083999,false,91,0,0,8,4.2,de,1983-02-03
The Storm Riders,風雲：雄霸天下,2137,tt0165499,false,128,0,0,74,6.196,zh,1998-07-18
Berlin Snuff,Berlin Snuff,2138,tt0298754,false,33,0,0,2,5,en,1995-01-01
Cleopatra Jones and the Casino of Gold,Cleopatra Jones and the Casino of Gold,2139,tt0072791,false,94,0,0,17,5.6,en,1975-07-11
Kiss of the Dragon,Kiss of the Dragon,2140,tt0271027,false,98,25000000,64437847,948,6.812,en,2001-07-06
James Dean,James Dean,2141,tt0240628,false,90,0,0,90,7.006,en,2001-08-04
Cop Land,Cop Land,2142,tt0118887,false,104,15000000,44862187,1201,6.788,en,1997-08-15
Carla\'s Song,Carla\'s Song,2143,tt0115832,false,125,0,0,61,7,en,1996-10-30
One Night at McCool\'s,One Night at McCool\'s,2144,tt0203755,false,93,0,0,264,5.8,en,2001-04-19
Feel the Motion,Der Formel Eins Film,2145,tt0089162,false,97,0,0,7,3.3,de,1985-07-05
The Flickering Flame,The Flickering Flame,2147,tt0130700,false,52,0,0,5,5.8,en,1996-01-01
The Cotton Club,The Cotton Club,2148,tt0087089,false,127,58000000,25928721,307,6.6,en,1984-12-14
Body of Evidence,Body of Evidence,2149,tt0106453,false,101,30000000,38000000,236,4.867,en,1993-01-15
Man with the Screaming Brain,Man with the Screaming Brain,2151,tt0365478,false,90,0,0,69,5.3,en,2005-04-03
Dixie Chicks: Shut Up and Sing,Dixie Chicks: Shut Up and Sing,2152,tt0811136,false,93,0,0,37,6.7,en,2006-10-27
The Driver,The Driver,2153,tt0077474,false,91,0,0,298,7.149,en,1978-06-08
The Dark Side of The Moon,The Dark Side of The Moon,2154,tt0099364,false,96,0,0,47,4.979,en,1990-05-30
Reindeer Games,Reindeer Games,2155,tt0184858,false,124,42000000,32168970,517,5.639,en,2000-02-25
Net Games,Net Games,2156,tt0330203,false,95,0,0,5,5.4,en,2003-02-02
Lost in Space,Lost in Space,2157,tt0120738,false,130,80000000,136159423,1014,5.354,en,1998-04-03
Voyage to the Bottom of the Sea,Voyage to the Bottom of the Sea,2160,tt0055608,false,105,1580000,7000000,96,5.8,en,1961-07-12
Fantastic Voyage,Fantastic Voyage,2161,tt0060397,false,100,5115000,12000000,325,6.76,en,1966-08-24
Chill Factor,Chill Factor,2162,tt0163579,false,101,34000000,11263966,112,4.8,en,1999-09-01
Breakdown,Breakdown,2163,tt0118771,false,95,36000000,50159144,683,6.784,en,1997-05-02
Stargate,Stargate,2164,tt0111282,false,121,55000000,196567262,2734,6.964,en,1994-10-27
Liberty Stands Still,Liberty Stands Still,2165,tt0280870,false,96,11000000,595214,122,5.402,en,2002-01-18
The Revengers\' Comedies,The Revengers\' Comedies,2166,tt0120013,false,86,0,0,16,5.5,en,1998-06-09
2:37,2:37,2168,tt0472582,false,91,850000,0,116,6.6,en,2006-05-26
Manta - Der Film,Manta - Der Film,2169,tt0102396,false,90,0,0,29,4.3,de,1991-09-18
An Ice Cream With Two scoops ...,Une glace avec deux boules...,2170,tt0083143,false,94,0,0,1,2,fr,1982-03-17
Wet Hot American Summer,Wet Hot American Summer,2171,tt0243655,false,97,5000000,295206,654,6.298,en,2001-07-27
Pathfinder,Ofelas,2172,tt0093668,false,86,0,0,56,7.2,se,1987-09-01
Big Wind on Campus,Big Wind on Campus,2173,tt0245724,false,89,0,0,4,3.8,en,2000-01-01
Wirklich alles?!,Wirklich alles?!,2175,tt0433263,false,65,0,0,0,0,en,2002-11-30
The Glass House,The Glass House,2176,tt0221218,false,107,30000000,23619609,791,5.885,en,2001-09-14
Falco: Live - Donauinsel,Falco: Live - Donauinsel,2177,tt2296759,false,110,0,0,2,9,en,1993-01-01
The Battle of The Alamo,The Battle of The Alamo,2178,tt0115635,false,52,0,0,0,0,en,1996-03-09
Tenacious D in The Pick of Destiny,Tenacious D in The Pick of Destiny,2179,tt0365830,false,93,22000000,13405595,1299,6.717,en,2006-11-22
Heartbreak Hotel,Heartbreak Hotel,2180,tt0785002,false,101,0,0,11,4.818,sv,2006-03-24
Geliebte weiße Maus,Geliebte weiße Maus,2181,tt0058134,false,76,0,0,3,6.3,de,1964-05-14
Attack of the Killer Tomatoes!,Attack of the Killer Tomatoes!,2182,tt0080391,false,87,90000,0,216,4.894,en,1978-10-01
Hindenburg Disaster: Probable Cause,Hindenburg Disaster: Probable Cause,2183,tt0418729,false,50,0,0,0,0,en,2001-01-01
Maus und Katz,Maus und Katz,2184,tt0107532,false,103,0,0,0,0,en,1993-12-10
Big Trouble,Big Trouble,2185,tt0246464,false,85,40000000,8493890,238,6.2,en,2002-04-05
Within the Woods,Within the Woods,2186,tt0078503,false,32,1600,0,43,6.047,en,1978-10-30
Alles nur Tarnung,Alles nur Tarnung,2187,tt0115516,false,90,0,0,2,1.5,de,1996-11-14
The Corrs: Live at Lansdowne Road,The Corrs: Live at Lansdowne Road,2188,tt0267391,false,87,0,0,7,8.1,en,2000-11-10
Tomboy,Tomboy,2189,tt0090184,false,91,0,14100000,34,4.9,en,1985-11-14
Stranded,Stranded,2191,tt0283015,false,95,4000000,0,34,5.3,en,2001-09-24
Temple of the White Elephant,"Sandok, il Maciste della giungla",2192,tt0128447,false,85,0,0,2,6,it,1964-03-28
My Tutor,My Tutor,2193,tt0085980,false,97,0,22587000,49,5,en,1983-03-04
No Regrets,Nichts bereuen,2194,tt0290015,false,104,0,0,15,6.4,de,2001-11-15
Beste Zeit,Beste Zeit,2195,tt0991269,false,95,0,0,13,6.3,de,2007-07-26
Death at a Funeral,Death at a Funeral,2196,tt0795368,false,90,9000000,46789413,1405,6.881,en,2007-08-17
Sounds of Sand,Si le vent soulève les sables,2197,tt0889222,false,96,5000000,0,10,6,fr,2007-05-02
"Himmel, Scheich und Wolkenbruch","Himmel, Scheich und Wolkenbruch",2198,tt0079296,false,90,0,0,0,0,de,1976-01-26
My Mom\'s a Werewolf,My Mom\'s a Werewolf,2199,tt0097938,false,90,0,0,30,4.5,en,1989-11-11
Jacob the Liar,Jakob der Lügner,2200,tt0071688,false,100,0,0,19,7.2,de,1975-04-18
Lassie Come Home,Lassie Come Home,2202,tt0036098,false,88,0,0,100,6.835,en,1943-12-01
Für ein paar Filme mehr...,Für ein paar Filme mehr...,2203,,false,30,0,0,0,0,de,2017-01-01
Alice in the Cities,Alice in den Städten,2204,tt0069687,false,110,0,0,207,7.6,de,1974-05-17
Real Men Don\'t Eat Gummi Bears,Gummibärchen küßt man nicht,2205,tt0097464,false,89,0,0,0,0,de,1989-08-17
Richy Guitar,Richy Guitar,2206,tt0090381,false,90,0,0,9,7.4,de,1985-07-07
16 Blocks,16 Blocks,2207,tt0450232,false,102,55000000,65664721,1632,6.421,en,2006-03-01
Hostess,Hostess,2209,tt0074645,false,98,0,0,7,5,de,1976-02-13
Earth Girls Are Easy,Earth Girls Are Easy,2210,tt0097257,false,100,10000000,3916303,290,5.669,en,1988-09-08
Aimée & Jaguar,Aimée & Jaguar,2211,tt0130444,false,125,0,0,75,6.8,de,1999-02-11
Nightwatch,Nightwatch,2212,tt0119791,false,102,0,1179002,314,6.067,en,1997-01-31
Zerschmetterte Träume - Eine Liebe in Fesseln,Zerschmetterte Träume - Eine Liebe in Fesseln,2213,tt0168267,false,93,0,0,0,0,de,1998-09-09
Heimliche Ehen,Heimliche Ehen,2214,tt0049298,false,91,0,0,0,0,de,1956-01-27
Star-Crossed Lovers,Königskinder,2215,tt0056161,false,89,0,0,1,8,de,1962-06-08
Five Cartridges,Fünf Patronenhülsen,2216,tt0053846,false,90,0,0,7,7.6,de,1960-11-03
...And Your Love Too,...und deine Liebe auch,2217,tt0055716,false,89,0,0,4,5.2,de,1962-09-27
Die Hosen des Ritters von Bredow,Die Hosen des Ritters von Bredow,2218,tt0070192,false,95,0,0,1,2,de,1973-08-30
Her Third,Der Dritte,2219,tt0068508,false,107,0,0,4,5.5,de,1972-03-16
Janus Head,Januskopf,2220,tt0068758,false,95,0,0,0,0,de,1972-09-01
Eddie Cochran & Friends: C\'mon Everybody,Eddie Cochran & Friends: C\'mon Everybody,2221,,false,55,0,0,1,6.5,en,2004-01-01
Christine,Christine,2222,tt0056933,false,96,0,0,0,0,de,1963-10-13
Preludio 11,Preludio 11,2223,tt0058490,false,86,0,0,0,0,de,1964-03-19
Alaska - Foxes,Alaskafüchse,2225,tt0057830,false,95,0,0,3,7.5,de,1964-07-24
A Lord of Alexander Square,Ein Lord am Alexanderplatz,2226,tt0061919,false,111,0,0,2,4.8,de,1967-03-03
Naked Among Wolves,Nackt unter Wölfen,2227,tt0056271,false,124,0,0,16,6.3,de,1963-04-10
Carnations in Aspic,Nelken in Aspik,2228,tt0074957,false,95,0,0,5,6.2,de,1976-09-24
The Flight,Die Flucht,2229,tt0076040,false,94,0,0,2,8.5,de,1977-10-12
Kit & Co.,Kit & Co.,2231,tt0071720,false,106,0,0,3,5,de,1974-12-15
The Legend of Paul and Paula,Die Legende von Paul und Paula,2232,tt0070299,false,105,0,0,20,6.2,de,1973-03-14
Verwirrung der Liebe,Verwirrung der Liebe,2233,tt0053415,false,105,0,0,4,4.2,de,1959-10-08
At a French Fireside,An französischen Kaminen,2234,tt0055748,false,99,0,0,1,8.5,de,1962-09-17
"Earth, Wind & Fire","Earth, Wind & Fire",2235,,false,60,0,0,2,4.2,en,2004-01-01
Bob Dylan - TV Live & Rare 1963 - 1975,Bob Dylan - TV Live & Rare 1963 - 1975,2236,,false,50,0,0,1,10,en,2004-01-01
Sonntagsfahrer,Sonntagsfahrer,2237,tt0057519,false,86,0,0,3,5.7,de,1963-08-30
Juke Box Revival - Rock\'n\'Roll Vol. 2,Juke Box Revival - Rock\'n\'Roll Vol. 2,2238,,false,60,0,0,0,0,en,2003-01-01
Hallam Foe,Hallam Foe,2239,tt0466816,false,95,8000000,60641,131,6.588,en,2007-02-16
Unterm Birnbaum,Unterm Birnbaum,2240,tt0072345,false,90,0,0,3,5,de,1973-11-16
Sun Alley,Sonnenallee,2241,tt0177242,false,101,0,0,87,7,de,1999-10-07
Julia lebt,Julia lebt,2242,tt0057211,false,83,0,0,0,0,de,1963-09-30
The Beach Boys - California Surfin,The Beach Boys - California Surfin,2244,tt2514600,false,67,0,0,0,0,en,2004-01-01
Green Lights Blue Skies,Green Lights Blue Skies,2245,,false,141,0,0,0,0,en,2002-01-01
Malice,Malice,2246,tt0107497,false,107,0,46405336,352,6.216,en,1993-09-29
The Shadows - The Final Tour,The Shadows - The Final Tour,2247,tt2979874,false,180,0,0,2,7.5,en,2004-11-29
Right Under My Eyes,Sous mes yeux,2249,tt0328494,false,91,0,0,1,2,fr,2002-06-23
The Adventures of Werner Holt,Die Abenteuer des Werner Holt,2250,tt0057816,false,156,0,0,10,7.5,de,1965-02-04
Unfaithful,Unfaithful,2251,tt0250797,false,124,50000000,119137784,1230,6.607,en,2002-05-10
Eastern Promises,Eastern Promises,2252,tt0765443,false,101,51500000,56106607,2648,7.366,en,2007-09-14
Valkyrie,Valkyrie,2253,tt0985699,false,121,75000000,200276000,3080,6.892,en,2008-12-25
Entlassen auf Bewährung,Entlassen auf Bewährung,2254,tt0233654,false,90,0,0,1,8.5,de,1965-06-17
Chasing Amy,Chasing Amy,2255,tt0118842,false,114,250000,12021272,1109,6.783,en,1997-04-04
The Story of a Murder,Chronik eines Mordes,2257,tt0059033,false,95,0,0,0,0,de,1965-02-25
Utz,Utz,2258,tt0105712,false,98,0,0,4,5.2,en,1992-03-15
The House of the Spirits,The House of the Spirits,2259,tt0107151,false,140,25000000,6265311,562,6.865,en,1993-10-19
Capturing the Friedmans,Capturing the Friedmans,2260,tt0342172,false,107,0,4076990,268,7.276,en,2003-05-30
Wattstax,Wattstax,2261,tt0070902,false,98,0,0,11,7.5,en,1973-02-04
Veronika Voss,Die Sehnsucht der Veronika Voss,2262,tt0084654,false,105,0,0,92,7.2,de,1982-05-13
Music Box,Music Box,2263,tt0100211,false,124,0,6263883,110,7.195,en,1989-12-22
Lola,Lola,2264,tt0082671,false,113,0,0,71,7.1,de,1981-08-20
Momo,Momo,2265,tt0091537,false,101,0,0,48,6.8,de,1986-07-16
Paris Je T\'aime,"Paris, je t\'aime",2266,tt0401711,false,120,13000000,4857367,591,6.8,fr,2006-06-21
The Last Mimzy,The Last Mimzy,2267,tt0768212,false,94,0,27308918,389,6.287,en,2007-02-09
The Golden Compass,The Golden Compass,2268,tt0385752,false,113,180000000,372234864,3959,6.035,en,2007-12-04
Day Watch,Дневной дозор,2269,tt0409904,false,132,4200000,42918532,428,6.11,ru,2006-01-01
Stardust,Stardust,2270,tt0486655,false,127,70000000,135560026,3423,7.247,en,2007-08-09
The Seeker: The Dark Is Rising,The Seeker: The Dark Is Rising,2274,tt0484562,false,94,45000000,31852619,340,5.393,en,2007-10-05
The General\'s Daughter,The General\'s Daughter,2275,tt0144214,false,116,60000000,149705852,731,6.367,en,1999-06-18
Bicentennial Man,Bicentennial Man,2277,tt0182789,false,131,100000000,87423861,3067,7.245,en,1999-12-17
Big,Big,2280,tt0094737,false,104,18000000,151927281,2948,7.141,en,1988-06-03
A Nos Amours,À nos amours,2282,tt0086650,false,102,0,0,125,6.7,fr,1983-11-16
Mr. Magorium\'s Wonder Emporium,Mr. Magorium\'s Wonder Emporium,2284,tt0457419,false,93,0,69474661,1068,6.226,en,2007-11-14
A Love in Germany,Eine Liebe in Deutschland,2285,tt0085843,false,132,0,0,7,4.9,de,1983-10-26
Crusade in Jeans,Kruistocht in Spijkerbroek,2286,tt0381111,false,125,0,0,46,5.9,nl,2006-11-15
Rize,Rize,2287,tt0436724,false,86,0,0,34,6.6,en,2005-01-15
Closer,Closer,2288,tt0376541,false,104,27000000,115505027,2741,6.831,en,2004-12-03
Cold Mountain,Cold Mountain,2289,tt0159365,false,154,79000000,173013509,1460,6.9,en,2003-12-24
Jakob the Liar,Jakob the Liar,2290,tt0120716,false,120,45000000,4956701,282,6.562,en,1999-09-16
Jacob\'s Ladder,Jacob\'s Ladder,2291,tt0099871,false,113,25000000,25965144,1241,7.399,en,1990-11-02
Clerks,Clerks,2292,tt0109445,false,92,27575,3151130,2003,7.426,en,1994-09-13
Mallrats,Mallrats,2293,tt0113749,false,94,6000000,2122561,986,6.768,en,1995-10-20
Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,2294,tt0261392,false,104,22000000,33788161,1240,6.387,en,2001-08-22
Clerks II,Clerks II,2295,tt0424345,false,97,5000000,26888376,1044,6.901,en,2006-07-21
Kein Mann für Camp Detrick,Kein Mann für Camp Detrick,2296,tt0385806,false,90,0,0,0,0,de,1970-10-03
Kafka,Kafka,2297,tt0102181,false,98,11000000,0,102,6.456,en,1991-11-15
The Film Narrator,Der Kinoerzähler,2298,tt0107324,false,98,0,0,0,0,de,1993-11-25
The Light,L\'Équipier,2299,tt0388562,false,105,0,5584679,27,7.148,fr,2004-11-03
Space Jam,Space Jam,2300,tt0117705,false,88,80000000,250200000,5187,6.845,en,1996-11-15
Collin,Collin,2301,tt0081844,false,181,0,0,1,10,de,1981-12-06
Avalon,Avalon,2302,tt0099073,false,126,0,0,60,6.6,en,1990-10-05
Conversation with the Beast,Gespräch mit dem Biest,2303,tt0115943,false,95,0,0,0,0,de,1997-02-20
The Wounded Man,L\'homme blessé,2304,tt0084085,false,109,0,0,21,5.4,fr,1983-05-25
God Does Not Believe in Us Anymore,Wohin und Zurück - An uns glaubt Gott nicht mehr,2306,tt0083554,false,110,0,0,4,7.1,de,1982-05-24
A Pyromaniac\'s Love Story,A Pyromaniac\'s Love Story,2307,tt0114210,false,94,0,345972,8,5,en,1995-04-28
