title,originaltitle,tmdbid,imdbid,isadult,runtime,budget,revenue,votecount,voteaverage,originallanguage,releasedate
Army of Darkness,Army of Darkness,766,tt0106308,false,81,11000000,21502976,2460,7.267,en,1992-10-31
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,767,tt0417741,false,153,250000000,933959197,16479,7.704,en,2009-07-07
From Hell,From Hell,768,tt0120681,false,122,35000000,74558115,2354,6.694,en,2001-02-08
GoodFellas,GoodFellas,769,tt0099685,false,145,25000000,46835000,10403,8.464,en,1990-09-12
Gone with the Wind,Gone with the Wind,770,tt0031381,false,238,4000000,402352579,3332,8.002,en,1939-12-15
Home Alone,Home Alone,771,tt0099785,false,103,18000000,476684675,9173,7.382,en,1990-11-16
Home Alone 2: Lost in New York,Home Alone 2: Lost in New York,772,tt0104431,false,120,18000000,358994850,7897,6.676,en,1992-11-19
Little Miss Sunshine,Little Miss Sunshine,773,tt0449059,false,102,8000000,100523181,5855,7.664,en,2006-07-26
Workers Leaving the Lumière Factory,La Sortie de l\'Usine Lumière à Lyon,774,tt0000010,false,1,0,0,248,6.754,fr,1895-03-22
A Trip to the Moon,Le Voyage dans la Lune,775,tt0000417,false,15,5985,0,1357,7.952,fr,1902-04-17
The Rules of the Game,La Règle du jeu,776,tt0031885,false,106,8847685,0,428,7.7,fr,1939-07-09
Grand Illusion,La Grande Illusion,777,tt0028950,false,114,0,0,512,7.85,fr,1937-06-04
Monsieur Hulot\'s Holiday,Les vacances de Monsieur Hulot,778,tt0046487,false,87,0,0,332,7.026,fr,1953-02-25
Vampyr,Vampyr - Der Traum des Allan Grey,779,tt0023649,false,74,0,0,370,7.4,de,1932-05-06
The Passion of Joan of Arc,La passion de Jeanne d\'Arc,780,tt0019254,false,82,0,0,685,8.088,fr,1928-04-21
Wintersleepers,Winterschläfer,781,tt0120522,false,120,0,323041,32,6.938,de,1997-10-30
Gattaca,Gattaca,782,tt0119177,false,106,36000000,12532777,5237,7.552,en,1997-09-07
Gandhi,Gandhi,783,tt0083987,false,191,22000000,77737889,1923,7.535,en,1982-11-30
Kolya,Kolja,784,tt0116790,false,105,1031764,7566841,122,7.41,cs,1996-05-15
To Whom Does the World Belong?,Kuhle Wampe oder: Wem gehört die Welt?,785,tt0023104,false,74,0,0,19,6.9,de,1932-05-14
Almost Famous,Almost Famous,786,tt0181875,false,122,60000000,47386287,2209,7.483,en,2000-09-15
Mr. & Mrs. Smith,Mr. & Mrs. Smith,787,tt0356910,false,120,110000000,487287646,8799,6.67,en,2005-06-07
Mrs. Doubtfire,Mrs. Doubtfire,788,tt0107614,false,125,25000000,441286195,5199,7.182,en,1993-11-24
Closely Watched Trains,Ostře sledované vlaky,789,tt0060802,false,93,0,0,170,7.332,cs,1966-11-18
The Fog,The Fog,790,tt0080749,false,89,1000000,21378361,1144,6.674,en,1980-02-08
The Fog,The Fog,791,tt0432291,false,100,18000000,46201432,590,4.448,en,2005-10-14
Platoon,Platoon,792,tt0091763,false,120,6000000,138530565,3650,7.746,en,1986-12-19
Blue Velvet,Blue Velvet,793,tt0090756,false,120,6000000,8618766,2620,7.644,en,1986-01-01
The Omen,The Omen,794,tt0075005,false,111,2800000,60922980,1568,7.379,en,1976-06-06
City of Angels,City of Angels,795,tt0120632,false,114,55000000,198685114,1786,6.759,en,1998-04-10
Cruel Intentions,Cruel Intentions,796,tt0139134,false,98,10500000,76347426,2676,6.788,en,1999-03-05
Persona,Persona,797,tt0060827,false,83,0,0,1671,8.263,sv,1966-10-18
Annaluise & Anton,Pünktchen und Anton,798,tt0046218,false,91,0,0,5,7.1,de,1953-08-26
Annaluise & Anton,Pünktchen und Anton,799,tt0161935,false,107,0,0,21,7.1,de,1999-03-11
The Young and the Damned,Los olvidados,800,tt0042804,false,85,0,0,365,8.033,es,1950-12-09
